,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
36,2023-03-02,169.77254635311758,146.41640805086985,204.02463336160145,169.77254635311758,169.77254635311758,5.389365609301696,5.389365609301696,5.389365609301696,5.389365609301696,5.389365609301696,5.389365609301696,0.0,0.0,0.0,175.16191196241928
37,2023-03-03,170.1668875096309,147.1141584652601,205.5035323141764,170.1668875096309,170.1668875096309,5.8675309372412885,5.8675309372412885,5.8675309372412885,5.8675309372412885,5.8675309372412885,5.8675309372412885,0.0,0.0,0.0,176.0344184468722
38,2023-03-06,171.34991097917086,148.45663146529523,203.2939787509036,171.34991097917086,171.34991097917086,4.858815853978874,4.858815853978874,4.858815853978874,4.858815853978874,4.858815853978874,4.858815853978874,0.0,0.0,0.0,176.20872683314974
39,2023-03-07,171.74425213568418,150.80802202195468,208.2704539111002,171.74425213568418,171.74425213568418,6.952789558978395,6.952789558978395,6.952789558978395,6.952789558978395,6.952789558978395,6.952789558978395,0.0,0.0,0.0,178.69704169466257
40,2023-03-08,172.13859329219747,149.74196863900664,206.5913056470686,172.13859329219747,172.13859329219747,6.403556996551437,6.403556996551437,6.403556996551437,6.403556996551437,6.403556996551437,6.403556996551437,0.0,0.0,0.0,178.5421502887489
41,2023-03-09,172.53293443333504,149.05448546740723,206.7091402997442,172.53293443333504,172.53293443333504,5.38936560931123,5.38936560931123,5.38936560931123,5.38936560931123,5.38936560931123,5.38936560931123,0.0,0.0,0.0,177.92230004264627
42,2023-03-10,172.92727557447265,151.79963505182695,206.2247447841663,172.92727557447265,172.92727557447265,5.867530937228209,5.867530937228209,5.867530937228209,5.867530937228209,5.867530937228209,5.867530937228209,0.0,0.0,0.0,178.79480651170084
43,2023-03-13,174.1102989978854,150.18481353897943,208.01622688809832,174.1102989978854,174.1102989978854,4.858815853994174,4.858815853994174,4.858815853994174,4.858815853994174,4.858815853994174,4.858815853994174,0.0,0.0,0.0,178.96911485187957
44,2023-03-14,174.504640139023,154.24619957562362,212.00768685899774,174.504640139023,174.504640139023,6.95278955897283,6.95278955897283,6.95278955897283,6.95278955897283,6.95278955897283,6.95278955897283,0.0,0.0,0.0,181.45742969799582
45,2023-03-15,174.89898128016057,153.03446441993373,210.9418452896413,174.89898128016057,174.89898128016057,6.403556996548297,6.403556996548297,6.403556996548297,6.403556996548297,6.403556996548297,6.403556996548297,0.0,0.0,0.0,181.30253827670887
46,2023-03-16,175.29332242129817,150.31491460650057,210.4003981840066,175.29332242129817,175.29332242129817,5.3893656093108735,5.3893656093108735,5.3893656093108735,5.3893656093108735,5.3893656093108735,5.3893656093108735,0.0,0.0,0.0,180.68268803060906
47,2023-03-17,175.68766356243577,154.11936530285564,209.95975635256335,175.68766356243577,175.68766356243577,5.867530937215129,5.867530937215129,5.867530937215129,5.867530937215129,5.867530937215129,5.867530937215129,0.0,0.0,0.0,181.5551944996509
48,2023-03-20,176.87068698584852,151.29105832066168,211.2238537354219,176.87068698584852,176.87068698584852,4.858815854025238,4.858815854025238,4.858815854025238,4.858815854025238,4.858815854025238,4.858815854025238,0.0,0.0,0.0,181.72950283987376
49,2023-03-21,177.26502815681707,154.40895378496063,211.39983367317177,177.26502815681707,177.26502815681707,6.952789558967262,6.952789558967262,6.952789558967262,6.952789558967262,6.952789558967262,6.952789558967262,0.0,0.0,0.0,184.21781771578432
50,2023-03-22,177.65936932778564,154.8602673396514,213.04738301249864,177.65936932778564,177.65936932778564,6.403556996552532,6.403556996552532,6.403556996552532,6.403556996552532,6.403556996552532,6.403556996552532,0.0,0.0,0.0,184.06292632433818
51,2023-03-23,178.05371049875419,154.66428056479353,210.12649210604775,178.05371049875419,178.05371049875419,5.389365609310517,5.389365609310517,5.389365609310517,5.389365609310517,5.389365609310517,5.389365609310517,0.0,0.0,0.0,183.4430761080647
52,2023-03-24,178.44805166972276,155.65580652767994,214.07897917816265,178.44805166972276,178.44805166972276,5.867530937214011,5.867530937214011,5.867530937214011,5.867530937214011,5.867530937214011,5.867530937214011,0.0,0.0,0.0,184.31558260693677
53,2023-03-27,179.63107518262845,154.6426826629842,212.0618092150646,179.63107518262845,179.63107518262845,4.858815853960277,4.858815853960277,4.858815853960277,4.858815853960277,4.858815853960277,4.858815853960277,0.0,0.0,0.0,184.48989103658872
54,2023-03-28,180.025416353597,161.50248837361084,215.0650598936912,180.025416353597,180.025416353597,6.952789558961694,6.952789558961694,6.952789558961694,6.952789558961694,6.952789558961694,6.952789558961694,0.0,0.0,0.0,186.97820591255868
55,2023-03-29,180.41975752456554,157.9150939144466,213.95819631005878,180.41975752456554,180.41975752456554,6.4035569965493915,6.4035569965493915,6.4035569965493915,6.4035569965493915,6.4035569965493915,6.4035569965493915,0.0,0.0,0.0,186.82331452111492
56,2023-03-30,180.8140986955341,157.70075150118262,213.8281443607792,180.8140986955341,180.8140986955341,5.389365609300979,5.389365609300979,5.389365609300979,5.389365609300979,5.389365609300979,5.389365609300979,0.0,0.0,0.0,186.20346430483508
57,2023-03-31,181.2084398573051,157.8149888099018,215.8514643094237,181.2084398573051,181.2084398573051,5.86753093718897,5.86753093718897,5.86753093718897,5.86753093718897,5.86753093718897,5.86753093718897,0.0,0.0,0.0,187.07597079449408
58,2023-04-03,182.39146334261815,157.60789215123307,215.68819469871798,182.39146334261815,182.39146334261815,4.858815853975575,4.858815853975575,4.858815853975575,4.858815853975575,4.858815853975575,4.858815853975575,0.0,0.0,0.0,187.25027919659374
59,2023-04-04,182.78580450438918,160.35410989501915,217.3053806901866,182.78580450438918,182.78580450438918,6.952789558966569,6.952789558966569,6.952789558966569,6.952789558966569,6.952789558966569,6.952789558966569,0.0,0.0,0.0,189.73859406335575
60,2023-04-05,183.1801456661602,161.64247304936015,218.2410010573754,183.1801456661602,183.1801456661602,6.4035569965493,6.4035569965493,6.4035569965493,6.4035569965493,6.4035569965493,6.4035569965493,0.0,0.0,0.0,189.5837026627095
61,2023-04-06,183.57448682793117,160.32727692497312,217.28403841932658,183.57448682793117,183.57448682793117,5.389365609300621,5.389365609300621,5.389365609300621,5.389365609300621,5.389365609300621,5.389365609300621,0.0,0.0,0.0,188.9638524372318
62,2023-04-10,185.15185147501523,160.25314930454473,218.25544635644155,185.15185147501523,185.15185147501523,4.858815853975111,4.858815853975111,4.858815853975111,4.858815853975111,4.858815853975111,4.858815853975111,0.0,0.0,0.0,190.01066732899034
63,2023-04-11,185.54619263678623,163.389595764888,220.94664001016133,185.54619263678623,185.54619263678623,6.952789558950563,6.952789558950563,6.952789558950563,6.952789558950563,6.952789558950563,6.952789558950563,0.0,0.0,0.0,192.4989821957368
64,2023-04-12,185.94053379855725,164.61413673145148,220.2362352723084,185.94053379855725,185.94053379855725,6.4035569965492085,6.4035569965492085,6.4035569965492085,6.4035569965492085,6.4035569965492085,6.4035569965492085,0.0,0.0,0.0,192.34409079510647
65,2023-04-13,186.3348749618021,163.0925402401217,219.4843688774052,186.3348749618021,186.3348749618021,5.389365609310157,5.389365609310157,5.389365609310157,5.389365609310157,5.389365609310157,5.389365609310157,0.0,0.0,0.0,191.72424057111223
66,2023-04-14,186.72921612504695,164.88461245609162,223.10350278947536,186.72921612504695,186.72921612504695,5.867530937231811,5.867530937231811,5.867530937231811,5.867530937231811,5.867530937231811,5.867530937231811,0.0,0.0,0.0,192.59674706227875
67,2023-04-17,187.91223961478144,165.7053147774954,223.07495202689995,187.91223961478144,187.91223961478144,4.858815853974648,4.858815853974648,4.858815853974648,4.858815853974648,4.858815853974648,4.858815853974648,0.0,0.0,0.0,192.7710554687561
68,2023-04-18,188.30658077802627,166.1397201050157,223.67398292958333,188.30658077802627,188.30658077802627,6.952789558973004,6.952789558973004,6.952789558973004,6.952789558973004,6.952789558973004,6.952789558973004,0.0,0.0,0.0,195.25937033699927
69,2023-04-19,188.7009219412711,166.52638177304024,221.95052546484246,188.7009219412711,188.7009219412711,6.403556996549116,6.403556996549116,6.403556996549116,6.403556996549116,6.403556996549116,6.403556996549116,0.0,0.0,0.0,195.10447893782023
70,2023-04-20,189.09526310451596,163.19270503516447,224.38376494076715,189.09526310451596,189.09526310451596,5.389365609309799,5.389365609309799,5.389365609309799,5.389365609309799,5.389365609309799,5.389365609309799,0.0,0.0,0.0,194.48462871382577
71,2023-04-21,189.4896042677608,166.7322384266717,223.71165998409907,189.4896042677608,189.4896042677608,5.8675309372306925,5.8675309372306925,5.8675309372306925,5.8675309372306925,5.8675309372306925,5.8675309372306925,0.0,0.0,0.0,195.3571352049915
